x,y,class
7.933767955673344,3.681178845630048,2.0
4.760599660373163,7.5185655020499444,3.0
2.2574473894765896,1.6174965706263498,1.0
2.9605576550674253,1.8057719676854391,1.0
1.582530139300071,1.5886107560916602,1.0
7.884720726491311,3.2486636890792875,2.0
2.392437027368223,1.4288284510342497,1.0
7.877539446704748,3.5085575442391335,2.0
2.274136517027731,2.7440172946437684,1.0
4.79928222974568,8.126985784936894,3.0
7.582217813057025,2.959493886739247,2.0
7.5907838787679065,2.8039414624982446,2.0
7.17575067082599,3.1405667300283975,2.0
2.163683180117004,1.6967008554794478,1.0
7.797902946699536,3.3014878000135,2.0
8.214687302532266,3.6800086547365325,2.0
2.4478951124205492,1.9397681770971815,1.0
8.154264819009303,2.5981903737056973,2.0
7.842180779420276,3.4015305111692027,2.0
7.966481450449896,2.2921472297770604,2.0
2.4068796856537693,1.8319608342568026,1.0
1.7626157588828244,1.8931072747996376,1.0
1.9509605427640055,2.3359791276095816,1.0
1.574715773563049,1.9180320989969135,1.0
7.519435498540504,3.2139706227194953,2.0
2.2104154247805883,2.061174213888972,1.0
8.404738405720094,2.6996528482178066,2.0
5.26927441293017,8.549534039480244,3.0
5.297744731916407,7.817418948337729,3.0
5.162830897839759,8.301815764326802,3.0
8.612762309314778,3.6289668977870466,2.0
7.783068795737215,2.87165352154663,2.0
4.98334441113731,8.4117653359456,3.0
5.753958192195194,8.035585916969131,3.0
2.23782618161647,1.7225369552162717,1.0
5.227495910124887,7.378227946729284,3.0
9.110580074774013,3.3482563775680623,2.0
7.134810669201291,2.754518755994769,2.0
0.979252833574557,2.3052333926105386,1.0
7.688141109833303,3.639735998040484,2.0
4.375507538335402,7.21981246109542,3.0
2.3959585370972105,1.73688455447778,1.0
2.431700801338796,2.767806145005162,1.0
4.764164287462684,8.424392042970249,3.0
2.0642621668849532,2.1417422136211157,1.0
5.021523625477347,8.266717920020675,3.0
1.3865085245462359,2.029124654248892,1.0
4.794672762608,7.585591038369497,3.0
2.1682528822260676,1.9517149446993423,1.0
1.897284754182746,1.44023546606388,1.0
7.862679468692204,4.148178540725741,2.0
7.77985719715537,3.0595351737827983,2.0
7.966137729790881,2.2199759910561685,2.0
2.1004291641392725,1.3018222434217464,1.0
1.6375570207169328,2.242085540107884,1.0
4.670807475455865,8.911974560799665,3.0
4.419749227312156,8.225036920777523,3.0
1.984607506645072,2.7664742024171973,1.0
4.244734399167484,7.982596072914258,3.0
5.862085580262748,7.155717710673992,3.0
8.722847522150754,3.654782975855427,2.0
