x,y,class
11.121016135433837,9.243988104810969,4.0
11.285070297277027,8.111598667699317,4.0
3.8456611598486665,2.691863924938173,1.0
10.29844069173329,9.533195433267766,4.0
7.883583874242813,2.0797054182160584,2.0
1.2713834051095558,3.270664292757033,1.0
9.807232945578956,3.5135803639590106,2.0
8.63280114484747,4.562238074609834,2.0
8.578512466614331,4.449926149450348,2.0
9.345925832191957,1.363887581443039,2.0
10.20736859156316,8.337093413033266,4.0
5.711362273936358,7.674361476757795,3.0
9.460887711848642,4.327044411458687,2.0
9.368414717556778,11.153511906156039,4.0
3.6885222609758404,7.31701219320467,3.0
3.4619413139009207,4.604598413300913,1.0
3.206745212858504,2.4753104897151723,1.0
8.160753019435884,3.7201213607163193,2.0
8.073621188003486,10.6726451420022,3.0
8.63527896227388,7.668120829697184,4.0
9.429466563205924,4.784962104562835,2.0
2.949336230283336,2.3810112540633654,1.0
2.4698401481775125,2.6450502843028145,1.0
10.416589255312925,9.591162601856094,4.0
1.2145585911734422,1.2781125898047248,1.0
4.576351852268322,7.843794167911853,3.0
7.9531976407509495,0.8377059835311274,2.0
8.328291000469783,4.00864099694317,2.0
9.957943134575318,9.857343247107497,4.0
0.467451881218788,1.2274730295856415,1.0
6.507107283663829,8.703544390507814,3.0
1.1165299252804912,1.5412661776526368,1.0
10.350555503607207,11.660733759100541,4.0
2.9643035251704704,7.98044354185443,3.0
8.902000570953945,8.957426382908427,4.0
9.10676044013762,3.1574076180215163,2.0
2.0081638890271294,0.5367935496502365,1.0
4.433782129071449,5.49466670885994,3.0
7.979178650557072,4.143174446156433,2.0
3.9360942893851787,8.020318341294349,3.0
5.272321632620171,10.866235485040715,3.0
9.372507484362282,11.872361920173082,4.0
2.7361273921260514,2.2721579717491607,1.0
4.505973992757508,8.33260401424027,3.0
1.3933045369595494,2.081267676600137,1.0
2.310940501848926,-0.09952034366399864,1.0
2.5491754614758837,-0.7181983295448999,1.0
6.156348926269488,6.446191667857268,3.0
2.7538066327733253,7.450663535150685,3.0
2.9156554957239793,1.1472367749059174,1.0
0.943710274020868,1.8936750169527465,1.0
4.53143129913897,8.066314880669754,3.0
11.810028312957332,9.411788304864649,4.0
9.795567420090265,9.342666896331693,4.0
8.843749620889785,3.330793889512789,2.0
10.193673230865771,9.879530879894485,4.0
9.158622952628429,9.240989010793394,4.0
3.2495569789481245,9.294130760099584,3.0
8.34655372562249,3.1060038692596734,2.0
5.1276333394716795,9.658797369593364,3.0
0.308012081572425,2.8336675535698648,1.0
2.517491311742555,1.4236800299042962,1.0
2.5106884055245846,1.8091956260820583,1.0
